text,helpfulness
"AQUISIÇÃO DE 01 (UM) VEICULO TIPO AMBULÂNCIA DE SIMPLES REMOÇÃO, ZERO KM, PARA A SECRETARIA MUNICIPAL DE SAÚDE DE SÃO JOÃO DA VARJOTA - PI, CONFORME DESCRIÇÃO DO ANEXO I DO EDITAL, DESTINADO À SECRETARIA DE SAÚDE DE SÃO JOÃO DA VARJOTA- PI",2.0
Aquisição de wn veiculo tipo ambulância,2.0
CONTRATAÇAO DE EMPRESA PRESTAÇÃO DE SERVIÇO DE PLANEJAMENTO E RESTAURAÇÃO DO SISTEMA DE PRESSÃO NEGATIVA DO INSTITUTO DE DOENÇAS TROPICAIS NATAN PORTELA,3.0
"Aquisicao de materiais para instalacdo do sistema de ar no
Hospital Nossa Senhora de Fatima para atender os pacientes infectados com o COVID-19 no Municipio de Parnaiba - PI, de interesse da secretaria municipal de satide, conforme detalhamento constante na Solicitacao de Matérias / Servicos n° 00298/20 do Processo n° 9071/2020;",3.0
"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA, EM CARÁTER DE URGÊNCIA, PARA PRESTAÇÃO DE SERVIÇOS DE MANUTENÇÃO PREVENTIVA E CORRETIVA DOS EQUIPAMENTOS: 02 MONITORES MULTIPARÂMETROS - MARCA: DIXTAL N/S; 05 VENTILADORES RESPIRAORES - MARCA: DIXTAL N/S; 02 BISTURIS ELETRÔNICOS MICROP - MARCA: WEM N/S; 01 LITOTRITOR SW106 N/S, COM A FINALIDADE DE PREPARAR O HOSPITAL INFANTIL LUCÍDIO PORTELA - HILP, BEM COMO DAR ESTRUTURA PARA ATENDER OS PACIENTES INFECTADOS PELO COVID-19 (NOVO CORONAVÍRUS), RESPONSÁVEL PELO SURTO DE ABRANGÊNCIA NACIONAL",3.0
"Equipamento Ambulância. Ratificação originalmente publicada em 23/03 (pg. 15). Contrato publicado originalmente em 03/04 (pg. 28), retificado em 22/04 (pg. 13), 23/04 (pg. 51), e 12/05 (pg. 26), reduzindo o valor de R$ 179.545,00 para R$ 93.550,00, e alterando a data de assinatura de 17/02 para 24/02.",3.0
"Manutenção Veicular. Ratificação originalmente publicada em 23/03 (pg. 15). Contrato publicado originalmente em 03/04 (pg. 28), retificado em 22/04 (pg. 13).",3.0
Manut. Equip. Vent. Mecânico,3.0
Contratação de empresa especializada na ampliação da central de consumo de oxigênio e ar medicinal devido a pandemia do COVID-19,3.0
Peças veiculo,3.0
"Contratação de empresa, para aquisição de pneus novos, câmara de ar e protetores, tendo em vista o uso contínuo e o desgaste natural dos meios de transportes da Secretaria Municipal de Saúde, no qual garante a continuidade dos serviços prestados à população Joãocostence, principalmente em momento de enfrentamento da pandemia do coronavirus.",3.0
"Contratação de empresa.. pare. aquisição de pneus novos, câmara de ar e protetores, tendo em vista o uso continuo e o desgaste natural do. frota de velculos das Secretarias do MUNICIPIO de João Costa - PI.",3.0
Manut. Equip. Lab. Da Uti,3.0
Mat. Hospitalar,3.0
Serviços na Ambulância,3.0
Serviços de Manutenção de Condicionadores de Ar,3.0
Serviços de Manutenção em Equipamentos Periféricos,3.0
PRESTAÇÃO DE SERVIÇOS DE MANUTENÇÃO PREVENTIVAS E CORRETIVAS DE APARELHO DE RAIO-X,3.0
"Serviços de manutenção de computadores, impressoms, bem como scviços de xerox e encadernação, para atender a,q demaodas das secretarias do município de J .nzi)ândia-PI",3.0
"Prestação dos serviços de fornecimento de pneus para veículos de propriedade municipal de Landri Sales - PI, Conforme especificações e quantidades nos autos deste procedimento. ",3.0
"Prestação dos serviços de fornecimento de peças para maquinas pesadas de propriedade municipal de Landri Sales - PI, Conforme especificações e quantidades nos autos deste procedimento. Publicado originalmente em 28/05, pg. 75.",3.0
"Prestação dos serviços de fornecimento de peças para veículos de propriedade municipal de Landri Sales - PI, Conforme especificações e quantidades nos autos deste procediment",3.0
"Prestação dos serviços mecânicos para veículos e maquinas pesadas de propriedade municipal de Landri Sales - PI, Conforme especificações e quantidades nos autos deste procedimento",3.0
"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA MANUTENÇÃO PREVENTIVA E CORRETIVA DE APARELHOS DE ANESTESIA, MONITORES MULTIPARAMÉTRICOS, APARELHOS DE CAPNOGRAFIA E VENTILADORES DA MARCA DRAGER PARA O HOSPITAL GETÚLIO VARGAS - HGV E HOSPITAL REGIONAL JUSTINO LUZ - HRJL",3.0
"O presente contrato de dispensa de licitação visa a contratação de empresa para prestação de serviços mecânico, para o conserto e manutenção de veiculo caminhonete: ano/modelo 2011, modelo S-10, tração 4x4, tipo ambulância.",3.0
"CONTRATAÇÃO DE EMPRESA PARA O FORNECIMENTO DE PNEUS, CÃMARAS, SERVIÇOS DE ALINHAMENTO E BALANCEAMENTO E PROTETORES PARA OS VEICULOS DA PREFEITURA, HOSPITAL E SECRETARIAS DO MUNICIPIO DE BARRO DURO - PI.",3.0
" CONTRATAÇÃO DE PESSOA JURÍDICA PARA O FORNECIMENTO DE PNEUS E CÂMARAS DE AR, DESTINADOS À FROTA DE VEÍCULOS DA SECRETARIA MUNICIPAL DE SAÚDE. PARA COMBATE AO COVID-19. PANDEMIA DE CORONAVIRUS NO MUNICIPIO DE BERTOLINIA",3.0
AQUISIÇÃO DE ÓLEOS E LUBRIFICANIES PARA ATENDER AS NECFSSIDADFS DO MUNICÍPIO DE LAGOA DO PIAUÍ-PI.,3.0
"CONTRATAÇÃO DE EMPRESA PARA LOCAÇÃO DE DIGITALIZADORES DE IMAGENS RADIOGRÁFICAS (CR), COM MANUTENÇÃO PREVENTIVA E CORRETIVA DO APARELHO, PARA ATENDER A DEMANDA DO HOSPITAL GETÚLIO VARGAS - HGV",3.0
"Serv, de Manut. Corretiva veiculo HRTN",3.0
"O PRESENTE TERMO ADITIVO TEM COMO OBJETIVO A INCLUSÃO DE NOVO PROJETO/ATIVIDADE NO CONTRATO PRIMITIVO, TENDO POR OBJETO A ""CONTRATAÇÃO DE SERVIÇOS DE MANUTENÇÃO PARA OS VEICULOS DA PREFEITURA MUNICIPAL E SUAS SECRETARIAS DO MUNIClPIO DE SANTANA DO PIAUI- PI•.",3.0
"O PRESENTE TERMO ADITIVO TEM COMO OBJETIVO A INCLUSÃO DE NOVO PROJETO/ATMDADE NO CONTRATO PRIMITIVO, TE DO POR OBJETO A ""AQUISIÇÃO DE PEÇAS E ACESSÓRJOS PARA OS VEICULOS DA PREFEITURA MUNICIPAL E SUAS SECRETARIAS DO MUNICIPIO DE SANTANA DO PIAU! - PI•.",3.0
"PRESE TE TERMO ADITIVO TEM COMO OBJETIVO A I CLUSÃO DE NOVO PROJETO/ATIVIDADE O CONTRATO PRIMJT!VO, TE DO POR OBJETO A ""CONTRATAÇÃO DE SERVIÇOS OE MANUTENÇÃO PARA OS VEICULO$ DA PREFEITURA MUNICIPAL E SUAS SECRETARIAS DO MUNICIPIO DE SANTANA DO PIAUI - PI'",3.0
CONTRATAÇÃO DE EMPRESA PARA AQUISIÇÃO DE PEÇAS PARA REPOSIÇÃO E SERVIÇOS DE MANUTE ÇÀO DOS VEÍC LOS DA SECRETARIAM JCJPAL DESA 0 DE DE ILHA GRANDF/PI.,3.0
"CONTRATAÇÃO DE EMPRESA. EM CARÁTER DE URGÊNCIA, PARA PRESTAÇÃO DE SERVIÇOS DE MANUTENÇÃO PREVENTIVA E CORRETIVA EM EQUIPAMENTOS DE AR CONDICIONADOS, COM INCLUSÃO DE PEÇAS, PARA OS SETORES DO HOSPITAL INFANTIL LUCIDIO PORTELA - HILP, PARA O PERÍODO DE 03 (TRÊS) MESES",3.0
Aquisição de peças e serviços mecanicos ,3.0
"FORNECIMENTO DE PEÇAS E SERVIÇOS MECANICOS PARA A AMBULANCIA MUNICIPAL, PLACA ODY 2846, GARANTINDO O SERVIÇO E A TROCA DAS PEÇAS DO MESMO.",3.0
SERVIÇOS DE MANUTENÇÃO CORRETIVA E PREVENTIVA DE AR CONDICIONADO,3.0
Aquisição de peças p/ manut. Corretiva cond. De ar,3.0
"CONTRATAÇÃO DE SERVIÇO DE MANUTENÇÃO CORRETIVA COM REPOSIÇÃO DE PEÇAS, EM CARÁTER DE URGÊNCIA, PARA O EQUIPAMENTO HOSPITALAR (autoclave modelo B-525P) DA MATERNIDADE DONA EVANGELINA ROSA - MDER",3.0
 Aquisição de Peças para Ambulância,3.0
 Aquisição de Serviços na Ambulância,3.0
Aquisição de Peças para Ambulância,3.0
CESSÃO DE 10 (DEZ) VENTILADORES PULMONARES E 10 (DEZ) MONITORES MULTIPARAMÉTRICOS PARA A ASSOCIAÇÃO PIAUIENSE DE COMBATE AO CÂNCER ALCENOR ALMEIDA (HOSPITAL SÃO MARCOS),4.0
"OBJETO DO PRESENTE TERMO DE FOMENTO É A EXECUÇÃO DE AÇÕES DE PREVENÇÃO AO COMBATE AO NOVO CORONAVÍRUS- COVID-19, VISANDO A CONSECUÇÃO DE FINALIDADE DE INTERESSE PÚBLICO E RECÍPROCO QUE ENVOLVE A TRANFERÊNCIA DE RECURSOS FINANCEIROS À ORGANIZAÇÃO DA SOCIEDADE CIVIL (OSC), CONFORME ESPECIFICAÇÕES ESTABELECIDAS NO PLANO DE TRABALHO,
DECORRENTE DA EMENDA PARLAMENTAR N. 04/2015.",4.0
"O OBJETO DO PRESENTE TERMO DE FOMENTO É A EXECUÇÃO DE AÇÕES DE PREVENÇÃO AO COMBATE AO NOVO CORONAVÍRUS-COVID-19, VISANDO A CONSECUÇÃO DE FINALIDADE DE INTERESSE PÚBLICO E RECÍPROCO QUE ENVOLVE A TRANSFERÊNCIA DE RECURSOS FINANCEIROS À ORGANIZAÇÃO DA SOCIEDADE CIVIL (OSC, CONFORME ESPECIFICAÇÕES ESTABELECIDAS NO PLANO DE TRABALHO, DECORRENTE DA EMENDA PARLAMENTAR N. 04/2020.",4.0
"O OBJETO DO PRESENTE TERMO DE FOMENTO É A EXECUÇÃO DE AÇÕES DE PREVENÇÃO AO COMBATE AO NOVO CORONAVÍRUS – COVID-19, VISANDO A CONSECUÇÃO DE FINALIDADE DE INTERESSE PÚBLICO E RECÍPROCO QUE ENVOLVE A TRANSFERÊNCIA DE RECURSOS FINANCEIROS À ORGANIZAÇÃO DA SOCIEDADE CIVIL (OSC), CONFORME ESPECIFICAÇÕES ESTABELECIDAS NO PLANO DE TRABALHO, DECORRENTE DA EMENDA PARLAMENTAR N. 01/2017.",4.0
"O OBJETO DO PRESENTE TERMO DE FOMENTO É A EXECUÇÃO DE AÇÕES DE PREVENÇÃO AO COMBATE AO NOVO CORONAVÍRUS – COVID-19, VISANDO A CONSECUÇÃO DE FINALIDADE DE INTERESSE PÚBLICO E RECÍPROCO QUE ENVOLVE A TRANSFERÊNCIA DE RECURSOS FINANCEIROS À ORGANIZAÇÃO DA SOCIEDADE CIVIL (OSC), CONFORME ESPECIFICAÇÕES ESTABELECIDAS NO PLANO DE TRABALHO, DECORRENTE DA EMENDA PARLAMENTAR N. 02/2017",4.0
"O presente Convénio tem como objeto a instalação de 10 (dez) leitos de Unidade de Terapia Intensiva-UTI, para o atendimento hospitalar aos pacientes acometidos da COVID-19, do Sistema Unico de Satide - SUS das planicies Litoranea e dos Cocais, na Santa Casa de Misericérdia complementando a satide ptiblica no municipio de Parnaiba-PI",4.0
AQUISIÇÃO DE MATERIAIS  em caráter de urgência destinados ao enfrentamento da emergência de saúde pública decorrente do novo Coronavirus (COVID-1 9); de acordo com as propostas e documentos que i nt egr am o processo admini s t rat ivo nº 001.0002599/2020 da Se cretaria Municipal de Saúde,5.0
AQUISIÇÃO DE MATERAL DESTINADOS AO ENFRETAMENTO DA EMERGÊNCIA DE SAÚDE PÚBLICA DECORRENTE DO CORONAVÍRUS (COVID19) NO MUNICIPIO DE PICOS-PI,5.0
"Contratação de pessoa jurídica para o fornecimento em caráter de urgência de suprimentos de saúde necessários para a prevenção, combate e enfrentamento do Covid-19 no município de São José do Divino-PI",5.0
FORNECIMENTO DE MATERIAL HOSPITALAR DESTINADO AO ENFRENTAMENTO DA PANDEMIA DA COVID-19 NO ÂMBITO DO MUNICÍPIO NAZÁRIA- P,5.0
aquisição de insumos para atender as necessidades das Unidades básicas de Saúde da Secretari a Municipal de Saúde de Il ha Grande/PI,5.0
FORNECIMENTO DE MATERIAL HOSPITALAR DESTINADO AO ENFRENTAMENTO DA PANDEMIA DA COVID-19 NO ÂMBlTO DO MUNICÍPIO NAZÁRIA - PI.,5.0
"Materiais Hospitalares. Ratificação originalmente publicada em 23/03 (pg. 15). Contrato publicado originalmente em 03/04 (pg. 28), retificado em 22/04 (pg. 13),em 23/04 (pg. 51), alterando a data de assinatura de 17/02 para 24/02..",5.0
Serviços de Instalação de Vidros,5.0
"aquisição de material hospitalar destinado ao enfrentamento do coronavirus,",5.0
Aquisição de materiais hospitalares destinados ao enfretamento da emergência de saúde pública decorrente do Coronavírus (COVID-19},5.0
"Contratação de empresa especializada no fornecimento de materiais discriminados no Anexo I, em virtude da necessidade de minimizar os riscos de contaminação pelo covid-19 (corona vírus);",5.0
"Contratação de empresa especializada no fornecimento de materiais discriminados no Anexo I, em virtude da necessidade de minimizar os riscos de contaminação pelo covid-19 (corona vírus);",5.0
"Contratação de empresa para forroecirnento de bens e insumos de saúde destinalos ao enfrentamento da emergência de saúde pública de lmportlriola lntemaclonai deoorrente do ooronavirus, para atender o Município de T anboril do Piauí.",5.0
"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NO FORNECIMENTO IMEDIATO, EM VIRTUDE DA NECESSIDADE DE MINIMIZAR OS RISCOS DE CONTAMINAÇÃO PELO COVID-19 (CORONA VÍRUS),",5.0
Contratação de empresa para fornecimento de bens e insumos de saúde destinados ao enfrentamento da emergência de saúda pública de lmportancia inlemacional decorrente do coronav1rus. para atender o Município de Tamboril do Piauí.,5.0
AQUISIÇÃO DE MATERIAIS HOSPITALAR DE CARÁTER EMERGENCIAL PARA A PREVENÇÃO E/OU COMBATE N) COVID-19 E PARA ATENDER 1\S NECESSIDADES DA SECRETARIA MUNICIPAL DE SJ\lIDE DE UNIÃD-PI,5.0
AQUISIÇÃO DE MATERIAL HOSPITALAR PARA ATENDER AS NECESSIDADES DAS UNIDADES BASICAS DE SAÚDE (UBS).,5.0
"CONTRATO DE AQUISIÇÃO DE BENS E INSUMOS (ALCOOL GEL 70%, AVENTAL ML C/TIRAS G20, TERMOMENTRO INFRA VERMELHO DIG DE TESTA), PARA ATENDER AS NECESSIDADE DA SECRETARIA MUNICIPAL DE SAÚDE DE OEIRAS PARA ENFRENTAMENTO DA EMERGÊNCIA DE SAÚDE PÚBLICA DECORRENTE DO CORONAVÍRUS",5.0
"Contratação de empre:sa para fornecimento , parcelado e sob demanda , de materiais emergenciais , para atender as necessidades da Secretaria de Saúde do Municipio de União-PI",5.0
Aqui ição de produ10s de saúde pam mobili «ições urgentes de alivid.1des p;1m o enfrcntamento da pandemia rcíercnte ao COVID-19. para atender as necessidades da Sccrc1aria de Saúde do Município de Pimenteims/PI,5.0
CONTRATAÇÃO DE EMPRESA PARA FORNECIMENTO DE INSUMOS HOSPITALARES PARA O COMBATE A COVID-19 PARA A PREFEITURA MUNICIPAL DE BOQUEIRÃO DOPIAUf- PI.,5.0
AQUISIÇÃO DE SACOS DE POLIETILENO PARA ATENDIMENTO DA REDE HOSPITALAR DA FMS,5.0
Contratação de Pessoa Juridica para Fornecimento de Materiais e Insumos MédicoHospitalares para Subsidiar Medidas de Controle e Prevenção do Novo Coronavirus no Município de São Francisco do Piaui.,5.0
"Contratação de empresa para fornecimento de materiais emergenciais , para atender as necessidades da Secretaria de Saúde do Município de União-PI",5.0
"Contratação de empresa para aquisição de colete de fiscalização em tecido elanquinha verde limão neon, faixa refletiva, escrito vigilância sanitária, frente e costas, para enfrentamento da pandemia causada pe.lo coronavirus-COVID-19, conforme especificações e demais exigências previstas neste edital e seus anexos, como se aqui estivessem transcritos.",5.0
AQUISIÇÃO DE MATERIAL MÉDICO HOSPITALAR.,5.0
Aqui ição de produ10s de saúde pam mobili «ições urgentes de alivid.1des p;1m o enfrcntamento da pandemia rcíercnte ao COVID-19. para atender as necessidades da Sccrc1aria de Saúde do Município de Pimenteims/PI,5.0
"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA, EM CARÁTER DE URGÊNCIA, ADQUIRIR MATERIAL MÉDICO HOSPITALAR, PARA ATENDER OS PACIENTES ACOMETIDOS OU SUSPEITOS PELA COVID-19",5.0
Mat. Hospitalar,5.0
FORNECIMENTO DE MATERIAIS MÉDICOHOSPITALARES PARA ATENDER AS NECESSIDADES DO HOSPITALGETÚLIOVARGAS - HGV,5.0
AQUISIÇÃO DE MATERIAL MÉDICO HOSPITALAR,5.0
FORNECIMENTO DE GENEROSALIMENTÍCIOS NÃO PERECÍVEIS PARA O HOSPITALESTADUALDOMINGOS CHAVES,5.0
FORNECIMENTO DE FRIOS E CARNES BRANCAS PARA O HOSPITALESTADUALDOMINGOS CHAVES - HEDC,5.0
"Fornecimento de Insumos médicos hospitalares para atender as necessidades da Secretaria Municipal de Saúde em caráter emergencial de acordo com a Medida Provisória nº 926/2020, de 20.03.2020 que alterou e Lei 13.979 de 06 de fevereiro de 2020, pelo período de 03 meses, em combate a pandemia do coronavirus Sars Cov-2 sobre o pais e no município de Lagoo. do Barro do Piaul/PI",5.0
AQUISIÇÃO DE MATERIAL MÉDlCO HOSPITALAR,5.0
Mat. Hospitalar,5.0
ORNECIMENTO DE GENEROS ALIMENTÍCIOS PERECÍVEIS PARAO HOSPITALESTADUALDOMINGOS CHAVES,5.0
500 sacos de tamanho M e 1000 sacos de tamanho G,5.0
"COMPRAEVENDADE DUAS IMPRESSORAS MULTIFUNCIONAL A LASER, DOIS ESTABILIZADORES E DOIS CABOS USB PARAIMPRESSORAPARA
O HOSPITALESTADUALDOMINGOS CHAVES",5.0
1.500 sacos de tamanho GG,5.0
"Contratação de empresa para Aquisição de Insumos e Correlatos relacionados ao COVID, 19 para atender as necessidades da Secretaria Municipal de Saúde no Município de Miguel Alves",5.0
Aquisição de produtos para enfrentamento da emergência de saúde nacional (COVID-19).,5.0
"Aditivo ao contrato nº 011/2020 (mudança de fonte para COVID), que tem como objeto a AQUISIÇÃO DE MATERIAL DE CONSTRUÇÃO, ELÉTRICO E HIDRÁULICO PARA O MUNICIPIO DE BARRA D'ALCÃNTARA/PI, CONFORME ESPECIFICAÇÕES E QUANTIDADES DO ANEXO IDO EDITAL. AQUISIÇÃO DE MATERIAL DE CONSTRUÇÃO.
ELÉTRICO E HIDRÁULICO PARA O MUNICIPIO DE BARRA D'ALCÃNTARA/PI, CONFORME ESPECIFICAÇÕES E QUANTIDADES DO ANEXO IDO EDITAL",5.0
Aquisição de materiais (aventais de TNT e lençóis de cama) para o enfrentamento do covid-19 no Município de Paulistana-PI,5.0
Saco p/ obito,5.0
"AQUISIÇÃO DE MATERIAL DE CONSUMO HOSPITALAR (SACO DE POLIETILENO), DESTINADOS AO ATENDIMENTO DA REDE HOSPITALAR DE TERESINA/FMS, OBSERVANDO O PRAZO LIMITE PREVISTO EM LEI. Retificação de publicação do dia 29/04/2020 (página 26).",5.0
"Aqwsfção de: material :grafico1 (pfotagem. de; arribuiãnda,.banner, pfacas· e· setas de; s1nai1zação) para área destinada· ao :tratamento de pacientes da CÓVID--19 do.Hospital Senador:DuceuMendes Arco Verde :do MurucípIO. cie Água BrancaÍPI.",5.0
Contratação de empresa para compra de insumos em razão da situação emergencial na saúde pública,5.0
"AQUISIÇÃO DE 5000(CINCO MIL) SACOS DE ÓBITOS. Publicado originalmente em 29/04 (pg. 27), com quantitativo reduzido de 5000 para 1000 unidades, e com valor reduzido de R$ 110.000,00 para R$ 22.000,00",5.0
"O objeto do presente processo de dispensa é a aquisição de cadeiras, mesa, tenda e garrafão de água para serem utilizados em Barreiras Sanitárias no combate ao coronavírus, na sede e zona rural do município de Palmeira do Piauí/PI",5.0
"AQUISIÇÃO DE TECIDOS PARA CONFECÇÕES DE LENÇOIS, AVENTAIS E FARDAMENTOS PARA OS PROFISSIONAIS DA SECRETARIA MUNICIPAL DE
SAÚDE DE BAIXA GRANDE DO RIBEIRO-PI",5.0
"Contratação de empresa ramo pertinente, para a aquisição de materiais hospitalares destinados ao enfretamento da emergência de saúde pública decorrente  do, Coronavirus (COVID-19) no município de Lagoa Alegre-PI. ",5.0
"CONTRATAÇÃO DE EMPRESA PARA FORNECIMENTO DE CORTINA DIVISÓRIA PARA EQUIPAR OS LEITOS DO HOSPITAL FLORISA SILVA NO COMBATE AO COVID-19, NO MUNICÍPIO DE JAICÓS • PI.",5.0
"REFERENTE À COMPRA DE PAPEL SULFITE CX/ 5000 FOLHAS GRAMATURA: 750/M"" FORMATO: A4 1210X297MM), QUE SE FAZ NECESSÃRIO AO ANDAMENTO DAS ATIVIDADES ESCOLARES, AS AULAS POR ESTAREM SUSPENSAS PRESENCIALMENTE NESSE PERfODO DE PANDEMIA COVID-19, FOI DECIDIDO QUE SERIA REPOSTAS POR MEIO VIRTUAL E QUE AS ATIVIDADES SERIAM IMPRESSAS E ENVIADAS A CADA ALUNO DA REDE MUNICIPAL DE ENSINO, COMO TAMBtM PARA SERVIR A PREFEITURA MUNICIPAL E AOS OUTROS ÓRGÃO E SECRETARIAS MUNICIPAIS, CONFORME PLANILHA ANEXA À DISPENSA Nº 019/2020 AMD Nº 042/2020. DE ACORDO COM A LEI Nº 13.979/2020 (LEI CORONAVIRUSI E MEDIDA PROVISÓRlA Nº 961 DE 06 DE MAIO DE 2020.",5.0
"Contratação de empresa para fornecimento de material de construção e elétrico prioritário para serviços de recuperação de banheiros do Hospital Municipal ·sagrado Coração de Jesus"" do município de Landri Sales (PI), para bem atender os serviços de saúde pública, em virtude da emergência relacionada ao SARS - Cov -2. Conforme especificações e quantidades constantes nos autos",5.0
Aquisição de Material de Expediente,5.0
 AQUISIÇAO DE CAMISAS PERSONALIZADAS PARA A SECRETARIA MUNICIPAL DE SAUDE DO MUNIClPIO DE BAIXA GRANDE DO RIBEIRO • PI. ,5.0
"CONTRATAÇÃO DE EMPRESA PARA AQUISIÇÃO DE TOTEN COM ESTRUTURA METALIZADA, REVESTIMENTO EM AWMINIO, PADRONIZAÇÃOEM ADESIVO VINil.. E SUPORTE PARA ALCOOL GEL TAMANHO 1,50 CM X 050 CM, PARA USO DE COMBATE AO COVID-19 ",5.0
Contrataç:lo de empresa especializada no ramo de confecç:lo de fardamento para o SAMU.,5.0
AQUISIÇÃO DE TECIDOS E MATERIAL AFIM PARA CONFECÇÃO DE MÁSCARAS NO COMBATE AO CORONAVIRUS (COVID-19),5.0
